Ticker,Category,Fundamental Cluster,Risk Cluster
IPAY,Miscellaneous Sector,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IBUY,Consumer Cyclical,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
PNQI,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SDOG,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FEX,Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IXC,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
SIL,Equity Precious Metals,High Fundamental Broad Market,High Risk - Double Market Volatile
JHML,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IWC,Small Blend,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
PKW,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JPIN,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PTH,Health,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
MJ,Miscellaneous Sector,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
INTF,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IWX,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FSTA,Consumer Defensive,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
IWL,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EWQ,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SPYX,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IYM,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
LRGF,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FNCL,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
JKD,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IHDG,Foreign Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XME,Natural Resources,Low Fundamentals Broad Market,High Risk - Double Market Volatile
VTHR,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
KBA,China Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RWL,Large Value,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
REGL,Mid-Cap Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CGW,Natural Resources,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
QUS,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IDLV,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DTD,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IVOG,Mid-Cap Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
NXTG,Technology,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XSD,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
JKG,,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
GWX,Foreign Small/Mid Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
MOO,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SDS,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
RYH,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SDIV,,Low Fundamentals Broad Market,High Risk - Double Market Volatile
IDU,Utilities,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PWB,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
DHS,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XMMO,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FTA,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CFO,,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
JNUG,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
IPO,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ROM,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility
PPA,Industrials,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
UDOW,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
EPI,India Equity,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IYK,Consumer Defensive,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
PEY,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FNX,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VIOV,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
MLPA,Energy Limited Partnership,Low Fundamentals Broad Market,High Risk - Double Market Volatile
OIH,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
XHE,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
JKK,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IMTM,Foreign Large Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
LVHD,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EEMA,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FPXI,Foreign Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FIW,Natural Resources,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SPXU,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
FCOM,Communications,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
CXSE,China Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
CFA,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PEJ,Consumer Cyclical,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
SMDV,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DVYE,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FXO,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
INDY,India Equity,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PWV,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SMLF,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XRT,Consumer Cyclical,Low Fundamentals Broad Market,High Risk - Double Market Volatile
EWS,Miscellaneous Region,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
GMF,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PSJ,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SILJ,Equity Precious Metals,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
EMGF,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CDC,,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
CRBN,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
DWM,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
KSA,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EZM,Mid-Cap Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FYX,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
OUSA,Large Value,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
KXI,Consumer Defensive,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
UWM,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
RDIV,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CHIQ,China Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
JPUS,Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
MLPX,Energy Limited Partnership,Low Fundamentals Broad Market,High Risk - Double Market Volatile
DWX,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
LGLV,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EWX,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
UYG,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
TLTD,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FENY,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
MXI,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CNYA,,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IVLU,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FIDU,Industrials,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
EQAL,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SPXS,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
HDEF,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EWP,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JKF,,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XNTK,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VTWG,Small Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IQDF,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PSQ,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
PID,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VTWV,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IVOV,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
QEFA,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SPHB,Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DTN,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PFM,Large Value,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
HEZU,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DIV,Mid-Cap Value,Low Fundamentals Broad Market,High Risk - Double Market Volatile
DWAS,Small Growth,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
SDOW,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
ECH,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
IYE,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
RHS,Consumer Defensive,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RING,Equity Precious Metals,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
BBH,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PSCH,Health,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VIDI,,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
GUSH,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
ERUS,Miscellaneous Region,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EES,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FNY,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PTF,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PZD,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EPS,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ONEV,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ONEY,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
QDEF,Large Value,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
CATH,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VNM,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DBEU,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FEP,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
THD,Miscellaneous Region,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
XTN,Industrials,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FEM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RTM,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
NANR,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SPGM,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ERX,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
EZA,Miscellaneous Region,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
CSM,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IYZ,Communications,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FM,Diversified Emerging Mkts,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
TZA,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
XITK,,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
RGI,Industrials,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
DDM,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility
VIOG,Small Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
KRMA,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EWD,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EWM,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FAN,Miscellaneous Sector,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EXI,Industrials,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FGD,Foreign Large Value,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
EIDO,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
PSCT,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
RXI,Consumer Cyclical,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
JKI,,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RFG,Mid-Cap Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
PDN,Foreign Small/Mid Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
TPYP,Energy Limited Partnership,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
QQQE,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
GII,Infrastructure,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PSI,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XSW,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FDT,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
NAIL,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
PBD,Miscellaneous Sector,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
KIE,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
VUSE,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IHE,Health,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
DOL,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FXR,Industrials,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PJP,Health,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
TUR,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
IXG,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
LABU,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
HEWJ,Japan Stock,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
URTY,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
IXP,Communications,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DOG,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
JKL,,Low Fundamentals Broad Market,High Risk - Double Market Volatile
IGE,Natural Resources,Mid Fundamentals Broad Market,High Risk - Double Market Volatile
RCD,Consumer Cyclical,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SDG,,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
REMX,Equity Precious Metals,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
WOOD,Natural Resources,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EPOL,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DNL,Foreign Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
DFE,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FLGE,Large Growth,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
HFXI,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
KBWD,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
RWJ,Small Value,Low Fundamentals Broad Market,High Risk - Double Market Volatile
EDIV,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IAT,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
EELV,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EUSA,Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
BIZD,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
CAPE,Large Value,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
XPH,Health,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
YINN,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
TLTE,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EWN,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IFV,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PBE,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
KBWP,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
FNDB,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SBIO,Health,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
SGDM,Equity Precious Metals,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RWM,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
RWK,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DEF,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ROUS,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
JPME,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FXG,Consumer Defensive,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FNI,Miscellaneous Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PPH,Health,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ONEO,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FMAT,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
BIB,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
BRZU,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
EEMS,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JPEM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SPGP,Large Growth,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PIO,Natural Resources,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PGJ,China Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FYC,Small Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SLVP,Equity Precious Metals,Mid Fundamentals Broad Market,High Risk - Double Market Volatile
SMIN,India Equity,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CZA,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
QID,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
FDD,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RYU,Utilities,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
JKJ,,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EDC,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
ENZL,Miscellaneous Region,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
SMLV,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PIE,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DBJP,Japan Stock,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
URA,Natural Resources,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
PRN,Industrials,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FAZ,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
FAD,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SMOG,Miscellaneous Sector,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FFTY,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
RTH,Consumer Cyclical,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PIZ,Foreign Large Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
COPX,Natural Resources,Low Fundamentals Broad Market,High Risk - Double Market Volatile
WDIV,World Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FXU,Utilities,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
HEEM,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EWI,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PSP,,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
GCOW,,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DFJ,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CDL,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ADRE,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ECON,Diversified Emerging Mkts,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
SHE,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FXZ,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SPEU,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
TOK,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
BKF,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
KLDW,World Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PKB,Industrials,Mid Fundamentals Broad Market,High Risk - Double Market Volatile
ITEQ,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EPU,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DEUS,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RYF,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
IEO,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
EDEN,Miscellaneous Region,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
MLPB,Energy Limited Partnership,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
DTH,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
USD,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility
DIM,Foreign Small/Mid Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DPST,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
IEUS,Europe Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RZV,Small Value,Low Fundamentals Broad Market,High Risk - Double Market Volatile
EQL,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
