,Ticker,Number of Holdings,Percentage of Assets in Top 10,Beta,Issuer,ESG Score,Annual Dividend Rate in $,Annual Dividend Yield %,Expense Ratio,Inception,Index Tracked,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),AUM in Millions $,Shares in Millions,Num of sectors,Sector (General),Sector (Specific)
439,VDE,101.0,68.45,1.8,Vanguard,5.01,2.47,3.36,0.001,9/23/2004,MSCI US Investable Market Energy 25/50 Index,Energy Equities,Equity,Multi-Cap,Value,North America,U.S.,5037.3,68.5,11,Energy,Oil & Gas Exploration & Production
440,EWY,108.0,53.17,1.0,iShares,5.83,0.63,0.71,0.0059,5/12/2000,MSCI Korea Index,Asia Pacific Equities,Equity,Large-Cap,Value,Developed Asia Pacific,South Korea,7589.0,85.5,19,,
442,FNK,226.0,9.13,1.46,First Trust,4.82,0.58,1.39,0.006999999999999999,4/19/2011,Defined Mid Cap Value Index,Small Cap Value Equities,Equity,Small-Cap,Blend,North America,U.S.,76.9,1.9,19,,
444,DPST,133.0,45.81,3.83,Direxion,5.31,1.08,0.44,0.0099,8/19/2015,Solactive US Regional Banks Total Return Index (300%),Leveraged Equities,Equity,Multi-Cap,Value,North America,U.S.,426.8,1.7,0,Financials,Regional Banks
446,FTXD,51.0,55.56,1.02,First Trust,4.99,0.23,0.8,0.006,9/21/2016,Nasdaq U.S. Smart Retail Index,Consumer Discretionary Equities,Equity,Large-Cap,Blend,North America,U.S.,8.7,0.3,6,Consumer Discretionary,Retail
447,ASHX,470.0,21.2,0.7,DWS,1.66,0.24,0.79,0.006,10/20/2015,MSCI China A Inclusion Index,China Equities,Equity,Mega-Cap,Blend,Emerging Asia Pacific,China,14.8,0.5,20,,
449,FDD,32.0,47.86,1.0,First Trust,7.76,0.51,3.72,0.0058,8/30/2007,STOXX Europe Select Dividend 30 Index,Europe Equities,Equity,Multi-Cap,Value,Developed Europe,Broad,223.4,16.2,11,,
450,KEMX,298.0,33.1,1.06,KraneShares,7.01,0.5,1.61,0.005,4/12/2019,MSCI Emerging Markets ex China Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,30.9,1.0,19,,
451,PJP,28.0,50.55,0.86,Invesco,4.32,0.54,0.69,0.0056,6/23/2005,Dynamic Pharmaceuticals Intellidex Index,Health & Biotech Equities,Equity,Multi-Cap,Blend,North America,U.S.,372.3,4.8,2,Healthcare,Pharmaceutical
452,EDEN,49.0,66.22,0.75,iShares,9.35,0.41,0.45,0.0053,1/25/2012,MSCI Denmark IMI 25/50 Index,Europe Equities,Equity,Large-Cap,Growth,North America,U.S.,171.2,1.9,16,,
453,QLV,114.0,33.92,0.87,FlexShares,5.02,0.56,1.21,0.0022,7/15/2019,Northern Trust Quality Low Volatility Index,Volatility Hedged Equity,Equity,Large-Cap,Blend,North America,U.S.,128.5,2.9,17,,
455,NUMV,93.0,18.85,1.12,Nuveen,7.33,0.42,1.25,0.004,12/13/2016,TIAA ESG USA Mid-Cap Value Index,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,178.3,5.4,20,,
456,EWZS,90.0,30.26,1.28,iShares,3.69,0.19,1.26,0.0059,9/28/2010,MSCI Brazil Small Cap Index,Latin America Equities,Equity,Small-Cap,Blend,Latin America,Brazil,104.4,6.9,18,,
457,NULV,191.0,22.51,0.97,Nuveen,7.65,0.47,1.35,0.0035,12/13/2016,TIAA ESG USA Large-Cap Value Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,770.2,22.3,20,,
458,RETL,98.0,51.91,4.15,Direxion,4.9,0.87,0.56,0.0099,7/14/2010,Russell 1000 Retail Index (300%),Leveraged Equities,Equity,Multi-Cap,Blend,North America,U.S.,81.2,0.5,0,Consumer Discretionary,Retail
459,GNOM,41.0,42.21,1.1,Global X,3.29,0.03,0.15,0.005,4/5/2019,Solactive Genomics Index,Health & Biotech Equities,Equity,Multi-Cap,Growth,North America,U.S.,197.4,9.0,3,Healthcare,Biotechnology
462,USEQ,614.0,2.75,1.06,Invesco,5.52,0.87,2.61,0.0029,7/13/2017,Russell 1000® Enhanced Value Equal Weight Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,1.7,0.1,20,,
463,HEWU,2.0,100.0,0.64,iShares,8.45,0.58,2.67,0.0051,6/29/2015,MSCI United Kingdom 100% Hedged to USD Index,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,7.6,0.4,2,,
464,AFLG,271.0,18.81,1.01,First Trust,5.61,0.28,1.24,0.0055,12/3/2019,Goldman Sachs ActiveBeta U.S. Large Cap Equity Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,5.7,0.3,21,,
465,USMC,40.0,36.66,0.9,Principal Financial Group,4.84,0.56,1.57,0.0012,10/11/2017,Nasdaq US Mega Cap Select Leaders Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,1760.8,49.5,11,,
466,SPLV,102.0,12.22,0.69,Invesco,5.95,1.12,2.03,0.0025,5/5/2011,S&P 500 Low Volatility Index,Volatility Hedged Equity,Equity,Large-Cap,Blend,North America,U.S.,7256.7,131.6,17,,
467,FILL,159.0,56.34,1.43,iShares,5.51,0.52,3.13,0.0039,1/31/2012,MSCI ACWI Select Energy Producers Investable Market Index,Energy Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,73.6,4.5,7,Energy,Oil & Gas Exploration & Production
468,GSLC,448.0,21.68,0.98,Goldman Sachs,5.21,1.02,1.33,0.0009,9/17/2015,Goldman Sachs ActiveBeta U.S. Large Cap Equity Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,11798.5,154.6,20,,
469,CWI,1290.0,12.4,0.86,State Street SPDR,6.73,0.57,2.01,0.003,1/10/2007,MSCI All Country World ex-U.S. Index ,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,1555.6,54.7,21,,
470,CIL,501.0,3.34,0.88,Victory Capital,7.53,0.72,1.73,0.0045,8/19/2015,CEMP International 500 Volatility Weighted Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,107.9,2.6,21,,
471,DEF,102.0,11.89,0.87,Invesco,6.08,0.79,1.37,0.0053,12/15/2006,Sabrient Defensive Equity Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,244.9,4.2,18,,
473,QDEF,129.0,33.66,0.93,FlexShares,5.75,1.2,2.46,0.0037,12/14/2012,Northern Trust Quality Dividend Defensive Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,469.3,9.7,18,,
474,IPAC,873.0,15.88,0.77,iShares,6.66,1.08,1.66,0.0009,6/10/2014,MSCI Pacific Investable Market Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Broad,1144.5,17.5,22,,
477,FDG,38.0,50.87,1.62,American Century Investments,5.01,0.01,0.01,0.0045,3/31/2020,NONE,Global Equities,Equity,Multi-Cap,Growth,North America,U.S.,214.5,3.0,12,,
478,EDOC,40.0,43.25,1.76,Global X,4.83,0.01,0.03,0.0068,7/30/2020,Solactive Telemedicine & Digital Health Index,Health & Biotech Equities,Equity,Multi-Cap,Growth,North America,U.S.,755.0,40.5,8,Healthcare,Broad
479,CHIS,63.0,55.63,0.43,Global X,2.03,0.28,0.72,0.0065,12/7/2018,MSCI China Consumer Staples 10/50 Index,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,22.7,0.7,7,Consumer Staples,Broad
480,PWB,51.0,34.41,0.92,Invesco,3.58,0.14,0.22,0.0056,3/3/2005,Dynamic Large Cap Growth Intellidex Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,705.8,10.9,13,,
481,CIBR,41.0,46.77,1.04,First Trust,4.99,0.49,1.2,0.006,7/6/2015,Nasdaq CTA Cybersecurity Index,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,3275.7,80.7,4,Technology,Internet Architecture
482,EMIF,32.0,56.65,0.94,iShares,4.55,0.62,2.59,0.006,6/16/2009,S&P Emerging Markets Infrastructure Index,Utilities Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,15.6,0.7,8,Utilities,Infrastructure
483,AIIQ,172.0,21.02,1.06,EquBot,6.63,0.41,1.34,0.0079,6/6/2018,NONE,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,9.3,0.3,20,,
484,DXGE,63.0,55.14,1.04,WisdomTree,6.59,1.01,3.1,0.0048,10/17/2013,WisdomTree Germany Hedged Equity Index,Europe Equities,Equity,Large-Cap,Value,North America,U.S.,29.3,0.9,17,,
485,RWGV,3.0,100.0,0.97,Direxion,4.54,0.29,0.3,0.0063,1/16/2019,Russell 1000 Growth/Value 150/50 Net Spread Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,14.5,0.2,2,,
486,EWN,57.0,65.58,0.96,iShares,7.87,0.32,0.75,0.0051,3/12/1996,MSCI Netherlands Investable Market Index,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,299.8,7.0,18,,
487,JKH,168.0,14.33,1.08,iShares,5.77,0.35,0.1,0.003,6/28/2004,Morningstar Mid Growth Index,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,1502.6,4.1,19,,
489,TECB,183.0,37.87,1.32,iShares,4.71,0.27,0.8,0.004,1/8/2020,NYSE FactSet US Tech Breakthrough Index,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,333.6,9.7,12,,
490,MOO,53.0,56.96,0.9,VanEck,6.64,0.86,1.01,0.0056,8/31/2007,DAXglobal Agribusiness Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,1059.0,12.5,8,Materials,Agribusiness
491,FTHI,264.0,27.29,0.78,First Trust,3.71,0.96,4.6,0.0085,1/6/2014,NONE,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,60.0,2.9,19,,
493,PKW,109.0,44.92,1.18,Invesco,6.5,1.09,1.35,0.0062,12/20/2006,Share BuyBack Achievers Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,1432.3,17.8,19,,
495,RDIV,61.0,49.42,1.3,Invesco,6.74,1.67,4.17,0.0039,10/1/2013, RevenueShares Ultra Dividend Index,All Cap Equities,Equity,Multi-Cap,Value,North America,U.S.,690.4,17.2,12,,
496,SPTM,1520.0,24.28,1.02,State Street SPDR,5.26,0.92,1.94,0.0003,10/4/2000,S&P Composite 1500 Index,All Cap Equities,Equity,Large-Cap,Blend,North America,U.S.,4485.9,94.2,21,,
498,CID,101.0,14.06,0.95,Victory Capital,7.78,1.01,3.21,0.0045,8/19/2015,CEMP International High Dividend 100 Volatility Weighted Index,Foreign Large Cap Equities,Equity,Large-Cap,Value,Developed Markets,Broad,21.9,0.7,18,,
499,QMJ,103.0,40.7,0.98,Direxion,6.34,0.75,1.28,0.0037,2/5/2020,S&P 500 150/50 Quality 0.30% Decrement Index,Long-Short,Equity,Large-Cap,Growth,North America,U.S.,8.8,0.2,17,,
500,OEF,103.0,40.64,0.97,iShares,4.69,2.45,1.41,0.002,10/23/2000,S&P 100 Index,Large Cap Growth Equities,Equity,Mega-Cap,Growth,North America,U.S.,6874.6,39.4,18,,
501,IUSS,1186.0,9.61,1.3,Invesco,4.48,0.24,0.66,0.0023,9/12/2018,Invesco Strategic US Small Company Index,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,34.6,1.0,20,,
503,IDX,38.0,54.64,1.15,VanEck,4.22,0.34,1.7,0.0057,1/15/2009,MVIS Indonesia Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,Indonesia,36.3,1.8,14,,
505,TDVG,106.0,27.79,0.88,"T. Rowe Price Group, Inc",6.05,0.11,0.4,0.005,8/4/2020,NONE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,47.2,1.7,19,,
507,JHMU,42.0,46.03,0.38,John Hancock,7.2,1.0,3.38,0.004,3/28/2016,John Hancock Dimensional Utilities Index,Utilities Equities,Equity,Multi-Cap,Value,North America,U.S.,19.6,0.7,4,Utilities,Broad
508,XLP,33.0,69.94,0.62,State Street SPDR,4.59,1.69,2.61,0.0012,12/16/1998,Consumer Staples Select Sector Index,Consumer Staples Equities,Equity,Large-Cap,Blend,North America,U.S.,10460.2,161.7,5,Consumer Staples,Broad
509,PDEV,553.0,10.44,0.8,Principal Financial Group,7.36,0.47,1.59,0.0025,7/23/2019,Nasdaq Developed Select Leaders Core Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,67.2,2.3,21,,
511,JHMC,113.0,30.63,1.29,John Hancock,5.37,0.25,0.54,0.004,9/28/2015,John Hancock Dimensional Consumer Discretionary Index,Consumer Discretionary Equities,Equity,Multi-Cap,Growth,North America,U.S.,46.2,1.0,10,Consumer Discretionary,Broad
513,FPXI,52.0,47.47,0.89,First Trust,3.69,0.13,0.19,0.006999999999999999,11/4/2014,IPOX International Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,1048.4,15.8,16,,
514,ESGD,489.0,11.94,0.85,iShares,8.23,1.19,1.6,0.002,6/28/2016,MSCI EAFE ESG Select Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,4646.7,63.1,21,,
516,LSAF,101.0,12.76,1.19,Redwood Investment Management,5.93,0.15,0.51,0.0075,10/2/2018,AlphaFactor US Core Equity Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,82.0,2.8,17,,
518,CALF,100.0,24.63,1.32,Pacer Financial,4.67,0.26,0.62,0.0059,6/16/2017,Pacer US Small Cap Cash Cows Index,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,160.5,4.1,18,,
520,FCOM,102.0,67.63,0.94,Fidelity,1.58,0.31,0.63,0.0008,10/21/2013,MSCI USA IMI Telecommunication Services 25/50 Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,697.9,14.4,6,Telecom,Broad
521,QYLD,104.0,51.34,0.66,Horizons ETFs,4.59,2.81,12.74,0.006,12/12/2013,CBOE NASDAQ-100 BuyWrite Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,2007.1,91.1,15,,
522,FNI,49.0,60.08,1.01,First Trust,4.07,0.19,0.29,0.006,5/11/2007,ISE Chindia Index,Asia Pacific Equities,Equity,Multi-Cap,Blend,Emerging Asia Pacific,Chindia,332.2,5.0,13,,
523,BIBL,102.0,31.92,0.98,Inspire Investing,6.85,0.61,1.65,0.0035,10/31/2017,Inspire 100 Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,189.7,5.1,19,,
525,QCLN,45.0,53.61,1.52,First Trust,6.38,0.21,0.33,0.006,2/14/2007,NASDAQ Clean Edge Green Energy Index,Alternative Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,2561.8,39.7,10,Energy,Clean Energy
526,OVF,5.0,100.0,0.74,"Liquid Strategies, LLC",6.81,0.66,2.6,0.0096,9/30/2019,NONE,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,4.4,0.2,2,,
527,HERD,6.0,99.99,1.16,Pacer Financial,5.91,0.55,1.74,0.0073,5/3/2019,Pacer Cash Cows Fund of Funds Index,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,1.6,0.1,2,,
528,RODM,492.0,7.47,0.8,Hartford Funds,7.53,0.8,2.8,0.0029,2/25/2015,Hartford Risk-Optimized Multifactor Developed Markets (ex-US) Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,1907.2,66.8,23,,
529,LSLT,101.0,11.62,0.75,Salt Financial LLC,6.3,0.64,2.23,0.0,3/12/2019,Salt Low truBeta US Market Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,6.4,0.2,17,,
530,VFH,411.0,41.09,1.2,Vanguard,6.62,1.61,1.93,0.001,1/30/2004,MSCI US Investable Market Financials 25/50 Index,Financials Equities,Equity,Large-Cap,Blend,North America,U.S.,8899.0,106.6,5,Financials,Broad
532,SPYC,2.0,100.0,0.97,Simplify Asset Management Inc,5.3,0.11,0.39,0.0028,9/3/2020,NONE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,85.6,3.1,0,,
533,EWMC,401.0,3.77,1.27,Invesco,4.56,0.89,1.04,0.004,12/3/2010,S&P MidCap 400 Equal Weight Index,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,102.3,1.2,20,,
535,TAAG,101.0,29.04,0.77,Tuttle Tactical Management LLC,5.22,4.01,15.17,0.0187,5/8/2020,NONE,All Cap Equities,Equity,Multi-Cap,Growth,North America,U.S.,8.0,0.3,14,,
536,GLIN,2.0,100.0,0.88,VanEck,5.24,0.08,0.23,0.0082,8/24/2010,MarketGrader India All-Cap Growth Leaders Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,India,70.4,2.1,1,,
538,HDV,76.0,60.41,0.91,iShares,5.82,3.57,3.82,0.0008,3/29/2011,Morningstar Dividend Yield Focus Index,Large Cap Value Equities,Equity,Large-Cap,Blend,North America,U.S.,6209.0,66.5,18,,
539,UXI,192.0,45.5,2.38,ProShares,6.4,0.29,0.27,0.0095,1/30/2007,Dow Jones U.S. Industrials Index (200%),Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,24.2,0.2,0,Industrials,Broad
540,FAD,676.0,4.99,1.12,First Trust,4.71,0.33,0.31,0.0063,5/8/2007,Defined Multi Cap Growth Index,All Cap Equities,Equity,Multi-Cap,Growth,North America,U.S.,205.5,2.0,21,,
541,ETHO,269.0,8.91,1.06,ETF Managers Group,6.11,0.4,0.72,0.0047,11/19/2015,Etho Climate Leadership Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,141.2,2.6,19,,
542,SDOW,11.0,97.49,-2.29,ProShares,6.1,0.07,0.58,0.0095,2/9/2010,Dow Jones Industrial Average (-300%),Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,438.0,38.8,0,,
543,NUMG,62.0,25.8,1.1,Nuveen,7.73,1.89,3.93,0.004,12/13/2016,TIAA ESG USA Mid-Cap Growth Index,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,262.5,5.5,13,,
544,GOEX,48.0,42.56,0.92,Global X,5.05,0.92,2.78,0.0065,11/3/2010,Solactive Global Gold Explorers & Developers Total Return,Materials,Equity,Multi-Cap,Blend,Developed Markets,Broad,53.1,1.8,1,Materials,Gold Miners
545,KLCD,118.0,10.15,0.88,KraneShares,6.47,0.68,2.31,0.0042,6/12/2019,Russell 1000 Dividend Select Equal Weight Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,48.4,1.7,18,,
546,KNG,68.0,17.73,0.92,Cboe Vest Financial LLC,7.28,1.72,3.45,0.0075,3/26/2018,S&P 500 Dividend Aristocrats Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,94.8,1.9,0,,
547,VT,8712.0,13.09,0.97,Vanguard,5.69,1.54,1.61,0.0008,6/26/2008,FTSE Global All Cap Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,18250.5,191.5,21,,
552,PQSG,536.0,4.91,1.15,PGIM Investments,4.04,0.62,0.9,0.0029,11/13/2018,NONE,Small Cap Growth Equities,Equity,Micro-Cap,Growth,North America,U.S.,13.8,0.2,19,,
553,DALI,8.0,99.99,0.88,First Trust,4.84,0.27,1.21,0.0091,5/14/2018,Nasdaq Dorsey Wright DALI 1 Index,All Cap Equities,Equity,Multi-Cap,Growth,North America,U.S.,67.5,3.0,1,,
554,ESPO,26.0,63.79,0.58,VanEck,3.69,0.09,0.13,0.0055,10/16/2018,MVIS Global Video Gaming and eSports Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,Developed Markets,Broad,836.5,12.1,3,Consumer Discretionary,Gaming
555,FLQD,99.0,23.35,0.86,Franklin Templeton Investments,8.06,0.91,2.85,0.0045,6/1/2016,LibertyQ Global Dividend Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,25.6,0.8,19,,
556,BKIE,652.0,11.95,0.93,Bank of New York Mellon,7.48,1.0,1.45,0.0004,4/24/2020,Morningstar Developed Markets ex-US Large Cap Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,40.7,0.6,22,,
557,SCHK,1001.0,23.4,1.03,Charles Schwab,5.17,0.59,1.54,0.0005,10/11/2017,Schwab 1000 Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,1522.0,39.8,21,,
558,XMVM,79.0,20.09,1.17,Invesco,4.83,0.5,1.16,0.0039,3/3/2005,S&P MidCap 400 High Momentum Value Index,Small Cap Value Equities,Equity,Mid-Cap,Blend,North America,U.S.,82.1,1.9,17,,
559,LVHI,92.0,24.72,0.63,Legg Mason,7.78,1.08,4.48,0.004,7/27/2016,QS International Low Volatility High Dividend Hedged Index,Volatility Hedged Equity,Equity,Large-Cap,Value,Developed Markets,Broad,56.2,2.3,17,,
561,HEWW,2.0,100.0,0.51,iShares,4.57,0.19,1.12,0.0054,6/29/2015,MSCI Mexico IMI 25/50 US Dollar Hedged Index,Latin America Equities,Equity,Multi-Cap,Blend,Latin America,Mexico,0.7,0.0,2,,
562,VB,1420.0,5.42,1.23,Vanguard,4.59,2.22,1.06,0.0005,1/30/2004,CRSP US Small Cap Index,Small Cap Growth Equities,Equity,Multi-Cap,Blend,North America,U.S.,42307.2,201.3,21,,
563,CUT,74.0,48.98,1.1,Invesco,7.56,0.55,1.56,0.0061,11/9/2007,Beacon Global Timber Index,Materials,Equity,Multi-Cap,Blend,Developed Markets,Broad,97.7,2.8,6,Materials,Timber
564,RWL,503.0,21.06,1.05,Invesco,5.47,1.09,1.63,0.0039,2/22/2008,RevenueShares Large Cap Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,909.6,13.6,19,,
565,IEUS,977.0,4.39,1.16,iShares,7.31,0.75,1.17,0.004,11/12/2007,MSCI Europe Small Cap Index,Europe Equities,Equity,Multi-Cap,Value,Developed Europe,Broad,187.4,3.0,21,Technology,Broad
566,HAWX,3.0,100.0,0.73,iShares,6.62,0.59,1.9,0.0035,6/29/2015,MSCI ACWI ex USA 100% Hedged to USD,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,100.5,3.2,1,,
567,FTA,189.0,10.79,1.25,First Trust,6.7,1.11,1.81,0.006,5/8/2007,Defined Large Cap Value Opportunities Index,Large Cap Value Equities,Equity,Multi-Cap,Blend,North America,U.S.,883.8,14.4,20,,
568,WBIY,51.0,49.26,1.4,WBI Shares,6.08,1.16,4.39,0.006999999999999999,12/19/2016,Solactive Power Factor Index,All Cap Equities,Equity,Multi-Cap,Value,North America,U.S.,48.8,1.9,15,,
570,PY,130.0,18.16,1.34,Principal Financial Group,5.74,1.0,2.57,0.0015,3/21/2016,NASDAQ U.S. Shareholder Yield Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,19.5,0.5,18,,
571,EFA,880.0,11.48,0.85,iShares,7.49,1.55,2.1,0.0032,8/14/2001,MSCI EAFE Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,53049.6,719.4,22,,
572,DYNF,620.0,12.68,0.96,iShares,5.78,0.48,1.47,0.003,3/19/2019,NONE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,75.5,2.3,21,,
573,PSI,31.0,46.12,1.34,Invesco,3.46,0.22,0.19,0.0057,6/23/2005,Dynamic Semiconductors Intellidex Index,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,509.6,4.5,4,Technology,Semiconductors
574,SCJ,967.0,4.81,0.67,iShares,3.96,0.7,0.89,0.0051,12/20/2007,MSCI Japan Small Cap Index,Japan Equities,Equity,Mid-Cap,Blend,Developed Asia Pacific,Japan,63.2,0.8,22,,
575,VEA,3933.0,9.85,0.9,Vanguard,7.19,0.96,1.99,0.0005,7/26/2007,MSCI EAFE Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,91736.5,1893.8,22,,
576,FBZ,51.0,36.16,1.11,First Trust,4.39,0.34,2.86,0.008,4/19/2011,NASDAQ AlphaDEX Brazil Index,Latin America Equities,Equity,Multi-Cap,Blend,Latin America,Brazil,6.6,0.6,15,,
578,IPKW,72.0,44.97,1.08,Invesco,8.49,0.56,1.32,0.0055,2/27/2014,NASDAQ International BuyBack Achievers Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,118.2,2.8,17,,
580,DBLV,51.0,33.89,1.03,AdvisorShares,5.51,1.02,1.19,0.0091,10/4/2011,NONE,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,45.6,0.5,16,,
581,FENY,82.0,68.49,1.8,Fidelity,5.0,0.47,3.26,0.0008,10/21/2013,MSCI USA IMI Energy Index,Energy Equities,Equity,Multi-Cap,Value,North America,U.S.,803.7,58.3,9,Energy,Oil & Gas Exploration & Production
583,HLAL,214.0,37.41,1.13,Wahed Invest LLC,4.65,0.33,0.97,0.005,7/16/2019,FTSE Shariah USA Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,82.9,2.5,21,,
584,SPY,506.0,26.68,0.99,State Street SPDR,5.3,5.69,1.48,0.0009,1/22/1993,S&P 500 Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,331086.0,862.8,20,,
585,INFR,108.0,45.11,0.65,Legg Mason,7.57,0.91,3.07,0.004,12/29/2016,RARE Global Infrastructure Index,Utilities Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,8.9,0.3,9,Utilities,Infrastructure
586,TTAI,123.0,18.19,0.9,TrimTabs Asset Management,8.05,0.2,0.64,0.0061,6/28/2017,NONE,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,13.5,0.4,19,,
588,AWAY,30.0,47.07,2.22,ETF Managers Group,3.01,0.01,0.03,0.0075,2/12/2020,Prime Travel Technology Index,Small Cap Blend Equities,Equity,Multi-Cap,Blend,Global,Broad,269.4,8.8,5,Industrials,Transportation
590,DEEF,1210.0,5.73,0.87,DWS,6.61,0.81,2.71,0.0024,11/24/2015,FTSE Developed ex US Comprehensive Factor Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,73.6,2.5,22,,
592,PSL,39.0,39.39,0.74,Invesco,5.1,0.69,0.76,0.006,10/12/2006,Dynamic Consumer Staples Sector Intellidex Index,Consumer Staples Equities,Equity,Multi-Cap,Blend,North America,U.S.,107.8,1.2,11,Consumer Staples,Broad
593,FLQE,347.0,11.56,0.72,Franklin Templeton Investments,3.82,0.81,2.65,0.0045,6/1/2016,LibertyQ Emerging Markets Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,24.3,0.8,19,,
594,DLS,823.0,9.01,0.98,WisdomTree,5.97,1.7,2.43,0.0058,6/16/2006,WisdomTree International SmallCap Dividend Index,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,1363.1,19.5,21,,
595,IYG,104.0,57.58,1.28,iShares,7.55,2.56,1.51,0.0042,6/21/2000,Dow Jones U.S. Financial Services Index,Financials Equities,Equity,Large-Cap,Blend,North America,U.S.,1401.1,8.3,5,Financials,Financial Services
597,FXN,37.0,48.23,2.44,First Trust,3.33,0.37,3.45,0.0064,5/8/2007,StrataQuant Energy Index,Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,297.3,27.5,5,Energy,Broad
