,Category,Fundamental Cluster,Risk Cluster,kmean_env_cluster,Kmean_Social_cluster,Kmean_Gov_cluster
SLYV,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
RPG,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EWC,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
DON,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
DSI,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
EWG,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DLN,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
FXL,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
AIA,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
SPHD,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
KBE,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
IYH,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
IXJ,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
FHLC,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
SPHQ,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
HEFA,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PDP,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FV,Large Growth,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
ASHR,China Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
RYT,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
XOP,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
VAW,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FNDC,Foreign Small/Mid Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
SUSA,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
NFRA,Infrastructure,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
FAS,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
EPP,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
TECL,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
ITB,Consumer Cyclical,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
MDYG,Mid-Cap Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
HACK,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
VONE,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
FPX,Large Growth,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
HEDJ,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
SLYG,Small Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
KRE,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
QCLN,Miscellaneous Sector,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
SOXL,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FEZ,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
JKE,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,,,
RDVY,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
SH,Trading--Inverse Equity,Market Inverse ETF,Betting against the market ,,,
GXC,China Region,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
UPRO,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
EWA,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
EWL,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
XLG,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
XMLV,Mid-Cap Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
DEM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
PRFZ,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EMLP,Energy Limited Partnership,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
SPXL,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
ARKQ,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
QYLD,Option Writing,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
IEV,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
RSX,Miscellaneous Region,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DXJ,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
ROBO,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
VOOV,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
ILF,Latin America Stock,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
DES,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
JKH,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,,,
LIT,Natural Resources,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
IYT,Industrials,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
MDYV,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
XSLV,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
TNA,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
CWI,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EWH,,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IYY,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
QDF,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
IYF,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
EMQQ,Diversified Emerging Mkts,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DLS,Foreign Small/Mid Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
FDL,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
TILT,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
SQQQ,Trading--Inverse Equity,Market Inverse ETF,Betting against the market ,,,
TDIV,Technology,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
FXD,Consumer Cyclical,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
SLY,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
CQQQ,China Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
KBWB,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
EWW,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
PHO,Natural Resources,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
XHB,Consumer Cyclical,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FDIS,Consumer Cyclical,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
GNR,Natural Resources,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
XAR,Industrials,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
IYC,Consumer Cyclical,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
IYJ,Industrials,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
PXH,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IYG,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
VIOO,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
QQEW,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
URTH,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
IHF,Health,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
IPAC,Diversified Pacific/Asia,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FUTY,Utilities,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
FTC,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
IVOO,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
RPV,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
PXF,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
SIZE,Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
EUFN,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
SDOG,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
FEX,Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
IXC,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
SIL,Equity Precious Metals,High Fundamental Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
PKW,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
JPIN,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IWX,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
FSTA,Consumer Defensive,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
IWL,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
EWQ,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IYM,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FNCL,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
JKD,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,,,
IHDG,Foreign Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
XME,Natural Resources,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
VTHR,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
KBA,China Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
RWL,Large Value,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
CGW,Natural Resources,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
IDLV,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
DTD,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
IVOG,Mid-Cap Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
NXTG,Technology,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,High Gov_Responsibility
XSD,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
JKG,,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,,,
GWX,Foreign Small/Mid Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
MOO,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
SDS,Trading--Inverse Equity,Market Inverse ETF,Betting against the market ,,,
RYH,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
SDIV,,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IDU,Utilities,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
PWB,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
DHS,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
XMMO,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FTA,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
CFO,,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
IPO,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
ROM,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
PPA,Industrials,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
UDOW,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
EPI,India Equity,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
IYK,Consumer Defensive,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
PEY,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
FNX,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
VIOV,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
MLPA,Energy Limited Partnership,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
OIH,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
JKK,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,,,
EEMA,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FPXI,Foreign Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
FIW,Natural Resources,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FCOM,Communications,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
CXSE,China Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
CFA,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
PEJ,Consumer Cyclical,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
DVYE,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FXO,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
INDY,India Equity,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
PWV,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
XRT,Consumer Cyclical,Low Fundamentals Broad Market,High Risk - Double Market Volatile,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
EWS,Miscellaneous Region,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
GMF,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
PSJ,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
SILJ,Equity Precious Metals,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
CDC,,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Neutral Gov_Responsibility
CRBN,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,High Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
DWM,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
EZM,Mid-Cap Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
