Ticker,pe,pb,pcf,ps,cluster,Category,Fundamental Cluster
IBUY,0.0,6.35,13.17,1.73,5,Consumer Cyclical,"Low Fundamental ETF’s (Energy, Health,Finance)"
FINX,45.27,6.84,29.59,7.51,3,Technology,High Fundamental Broad Market
PNQI,37.88,8.14,27.01,5.92,3,Technology,High Fundamental Broad Market
SDOG,20.76,2.05,8.21,1.02,2,Large Value,Low Fundamentals Broad Market
FEX,21.87,2.88,13.19,1.88,1,Large Blend,Mid Fundamentals Broad Market
IXC,0.0,1.19,6.31,0.93,5,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)"
SIL,27.53,2.45,16.04,3.75,3,Equity Precious Metals,High Fundamental Broad Market
JHML,25.45,3.43,14.86,2.14,1,Large Blend,Mid Fundamentals Broad Market
IWC,0.0,1.99,7.11,1.05,5,Small Blend,"Low Fundamental ETF’s (Energy, Health,Finance)"
PKW,14.76,2.17,9.19,0.93,2,Large Value,Low Fundamentals Broad Market
JPIN,17.54,1.39,7.21,0.9,2,Foreign Large Blend,Low Fundamentals Broad Market
FNGU,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
PTH,0.0,9.14,0.0,4.69,5,Health,"Low Fundamental ETF’s (Energy, Health,Finance)"
MJ,0.0,2.91,0.0,2.36,5,Miscellaneous Sector,"Low Fundamental ETF’s (Energy, Health,Finance)"
INTF,15.93,1.5,7.82,0.98,2,Foreign Large Blend,Low Fundamentals Broad Market
IWX,21.44,2.27,12.5,2.07,1,Large Value,Mid Fundamentals Broad Market
ONLN,30.62,7.31,16.66,2.35,3,Consumer Cyclical,High Fundamental Broad Market
FSTA,22.53,4.78,13.88,1.21,3,Consumer Defensive,High Fundamental Broad Market
IWL,27.89,4.19,17.21,3.05,3,Large Blend,High Fundamental Broad Market
EWQ,21.54,1.58,10.46,1.33,1,Miscellaneous Region,Mid Fundamentals Broad Market
SPYX,27.64,4.06,16.23,2.72,3,Large Blend,High Fundamental Broad Market
SMMV,23.38,2.68,13.24,1.77,1,Small Blend,Mid Fundamentals Broad Market
IYM,30.92,2.62,12.5,2.38,1,Natural Resources,Mid Fundamentals Broad Market
FIVG,30.72,3.36,12.66,2.46,1,Communications,Mid Fundamentals Broad Market
LRGF,21.93,3.44,12.7,1.76,1,Large Value,Mid Fundamentals Broad Market
FNCL,16.02,1.34,0.0,2.12,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
JKD,28.12,5.02,19.22,2.59,3,,High Fundamental Broad Market
IHDG,21.81,4.09,12.96,2.82,3,Foreign Large Growth,High Fundamental Broad Market
PSC,17.9,1.99,7.89,1.18,2,,Low Fundamentals Broad Market
XME,20.39,2.1,10.43,0.97,2,Natural Resources,Low Fundamentals Broad Market
VTHR,27.45,3.81,15.95,2.58,3,Large Blend,High Fundamental Broad Market
KBA,20.51,2.47,17.33,1.9,1,China Region,Mid Fundamentals Broad Market
RWL,20.71,2.45,9.74,0.77,2,Large Value,Low Fundamentals Broad Market
LDEM,19.59,1.95,11.55,1.72,1,Diversified Emerging Mkts,Mid Fundamentals Broad Market
REGL,21.72,2.1,8.35,1.66,2,Mid-Cap Blend,Low Fundamentals Broad Market
CGW,32.46,3.11,11.57,1.84,1,Natural Resources,Mid Fundamentals Broad Market
QUS,24.52,3.42,14.24,2.16,1,Large Blend,Mid Fundamentals Broad Market
IDLV,18.66,1.45,8.25,1.03,2,Foreign Large Blend,Low Fundamentals Broad Market
DTD,21.06,3.09,11.87,2.2,1,Large Value,Mid Fundamentals Broad Market
IVOG,31.52,4.38,17.61,2.94,3,Mid-Cap Growth,High Fundamental Broad Market
NXTG,24.3,2.73,9.1,1.55,1,Technology,Mid Fundamentals Broad Market
GDVD,30.03,3.82,15.09,2.69,3,World Stock,High Fundamental Broad Market
FTXR,27.17,2.58,7.34,0.96,1,Industrials,Mid Fundamentals Broad Market
KOKU,25.84,3.08,14.51,2.35,1,World Stock,Mid Fundamentals Broad Market
XSD,33.44,6.04,23.32,6.4,3,Technology,High Fundamental Broad Market
JKG,26.52,3.62,15.93,2.6,3,,High Fundamental Broad Market
GWX,15.59,1.18,6.64,0.72,2,Foreign Small/Mid Blend,Low Fundamentals Broad Market
MOO,28.35,2.36,11.23,1.17,1,Natural Resources,Mid Fundamentals Broad Market
SDS,-1.0,-1.0,-1.0,-1.0,0,Trading--Inverse Equity,Market Inverse ETF
RYH,24.4,4.16,14.61,1.12,3,Health,High Fundamental Broad Market
SDIV,9.33,1.03,5.79,1.09,2,,Low Fundamentals Broad Market
IDU,21.64,2.07,9.91,2.52,1,Utilities,Mid Fundamentals Broad Market
PWB,38.45,9.12,24.47,5.54,3,Large Growth,High Fundamental Broad Market
DHS,18.03,2.14,8.64,1.99,2,Large Value,Low Fundamentals Broad Market
XMMO,30.33,5.56,17.61,2.4,3,Mid-Cap Growth,High Fundamental Broad Market
FTA,17.11,1.83,8.81,1.22,2,Large Value,Low Fundamentals Broad Market
CFO,24.4,3.33,14.1,1.96,1,,Mid Fundamentals Broad Market
JNUG,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
IPO,0.0,14.11,34.2,8.93,3,Mid-Cap Growth,High Fundamental Broad Market
ROM,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
PPA,24.98,3.29,15.33,1.68,1,Industrials,Mid Fundamentals Broad Market
UDOW,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
JHEM,17.26,1.72,9.96,1.36,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
EPI,16.8,1.95,8.43,1.44,2,India Equity,Low Fundamentals Broad Market
IYK,26.8,5.19,15.1,2.39,3,Consumer Defensive,High Fundamental Broad Market
PEY,16.37,1.56,7.55,1.05,2,Mid-Cap Value,Low Fundamentals Broad Market
FNX,17.8,2.29,10.78,1.54,1,Mid-Cap Blend,Mid Fundamentals Broad Market
VIOV,19.05,1.59,7.71,0.94,2,Small Value,Low Fundamentals Broad Market
MLPA,9.48,1.25,4.04,1.0,2,Energy Limited Partnership,Low Fundamentals Broad Market
MFEM,18.64,1.52,7.63,0.88,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
ESPO,35.68,6.66,25.81,5.25,3,Technology,High Fundamental Broad Market
OGIG,44.52,10.92,30.65,7.43,3,,High Fundamental Broad Market
OIH,0.0,0.99,6.33,1.01,5,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)"
XHE,43.1,5.01,27.82,5.24,3,Health,High Fundamental Broad Market
JKK,41.41,6.46,24.38,4.89,3,,High Fundamental Broad Market
IMTM,30.16,4.04,17.1,2.82,3,Foreign Large Growth,High Fundamental Broad Market
LVHD,18.45,2.93,11.19,1.61,1,Large Value,Mid Fundamentals Broad Market
EEMA,18.64,1.92,11.41,1.4,1,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market
FPXI,35.16,8.0,20.3,4.02,3,Foreign Large Growth,High Fundamental Broad Market
FIW,36.17,4.06,17.89,2.51,3,Natural Resources,High Fundamental Broad Market
SPXU,-1.0,-1.0,-1.0,-1.0,0,Trading--Inverse Equity,Market Inverse ETF
FCOM,27.69,3.61,12.68,3.13,3,Communications,High Fundamental Broad Market
CXSE,24.96,4.23,21.66,2.67,3,China Region,High Fundamental Broad Market
CFA,24.4,3.33,14.1,1.96,1,Large Blend,Mid Fundamentals Broad Market
PEJ,0.0,3.39,13.83,1.55,5,Consumer Cyclical,"Low Fundamental ETF’s (Energy, Health,Finance)"
SMDV,21.85,1.83,10.34,1.52,1,Small Blend,Mid Fundamentals Broad Market
NULV,20.77,2.45,11.76,1.57,1,,Mid Fundamentals Broad Market
DVYE,8.62,0.94,5.07,0.82,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
FXO,12.57,1.18,0.0,1.64,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
INDY,26.7,2.9,12.8,2.43,1,India Equity,Mid Fundamentals Broad Market
PWV,19.36,2.41,10.64,2.02,1,Large Value,Mid Fundamentals Broad Market
SMLF,18.31,2.26,8.74,1.0,2,Small Blend,Low Fundamentals Broad Market
XRT,16.77,3.89,7.01,0.59,2,Consumer Cyclical,Low Fundamentals Broad Market
EWS,15.77,1.13,0.0,2.73,5,Miscellaneous Region,"Low Fundamental ETF’s (Energy, Health,Finance)"
FDVV,22.2,2.13,10.69,2.32,1,Large Value,Mid Fundamentals Broad Market
GMF,19.03,2.16,13.14,1.63,1,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market
PSJ,0.0,9.63,33.28,8.22,3,Technology,High Fundamental Broad Market
SILJ,0.0,1.63,12.85,3.34,5,Equity Precious Metals,"Low Fundamental ETF’s (Energy, Health,Finance)"
EMGF,15.16,1.7,9.01,0.99,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
CDC,18.18,1.84,8.82,1.44,2,,Low Fundamentals Broad Market
CRBN,23.55,2.57,14.1,2.11,1,World Stock,Mid Fundamentals Broad Market
DWM,17.26,1.53,8.2,1.15,2,Foreign Large Value,Low Fundamentals Broad Market
KSA,18.43,2.02,10.44,3.29,1,Miscellaneous Region,Mid Fundamentals Broad Market
EZM,16.01,1.97,8.6,1.12,2,Mid-Cap Blend,Low Fundamentals Broad Market
FYX,17.34,1.79,8.48,1.09,2,Small Blend,Low Fundamentals Broad Market
OUSA,22.86,6.23,14.46,2.87,3,Large Value,High Fundamental Broad Market
KXI,22.2,3.93,13.12,1.42,3,Consumer Defensive,High Fundamental Broad Market
UWM,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
RDIV,17.84,1.43,8.77,1.2,2,Large Value,Low Fundamentals Broad Market
CHIQ,32.1,4.73,23.34,2.24,3,China Region,High Fundamental Broad Market
JPUS,21.45,2.86,10.84,1.72,1,Large Blend,Mid Fundamentals Broad Market
MLPX,19.69,1.47,4.43,0.88,2,Energy Limited Partnership,Low Fundamentals Broad Market
DWX,14.74,1.39,8.04,1.63,2,Foreign Large Value,Low Fundamentals Broad Market
LGLV,27.06,2.8,16.4,2.93,3,Large Blend,High Fundamental Broad Market
EWX,15.28,1.34,7.13,0.93,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
UYG,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
TLTD,16.6,1.18,7.09,0.87,2,Foreign Large Value,Low Fundamentals Broad Market
FENY,0.0,1.29,7.49,1.01,5,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)"
MXI,24.63,2.15,10.26,1.57,1,Natural Resources,Mid Fundamentals Broad Market
CNYA,20.22,2.44,16.87,1.73,1,,Mid Fundamentals Broad Market
IVLU,13.98,0.85,5.56,0.68,2,Foreign Large Value,Low Fundamentals Broad Market
HERO,31.87,4.85,23.09,4.74,3,,High Fundamental Broad Market
EDOC,48.59,6.87,29.47,5.94,3,Health,High Fundamental Broad Market
FIDU,26.53,4.07,14.08,1.87,3,Industrials,High Fundamental Broad Market
EQAL,22.74,2.35,10.54,1.6,1,Mid-Cap Blend,Mid Fundamentals Broad Market
JHSC,21.39,2.42,11.48,1.75,1,Small Blend,Mid Fundamentals Broad Market
SPXS,-1.0,-1.0,-1.0,-1.0,0,Trading--Inverse Equity,Market Inverse ETF
HDEF,14.53,1.61,7.75,1.1,2,Foreign Large Value,Low Fundamentals Broad Market
EWP,21.54,1.12,6.95,1.13,2,Miscellaneous Region,Low Fundamentals Broad Market
JKF,20.17,2.37,11.28,2.24,1,,Mid Fundamentals Broad Market
XNTK,32.64,9.76,21.63,5.47,3,Technology,High Fundamental Broad Market
VTWG,29.78,5.75,17.08,2.64,3,Small Growth,High Fundamental Broad Market
IQDF,13.15,1.64,7.78,1.12,2,Foreign Large Value,Low Fundamentals Broad Market
PSQ,-1.0,-1.0,-1.0,-1.0,0,Trading--Inverse Equity,Market Inverse ETF
NUSC,21.11,2.52,11.06,1.42,1,,Mid Fundamentals Broad Market
PID,16.06,1.15,6.01,1.75,2,Foreign Large Value,Low Fundamentals Broad Market
VTWV,16.43,1.62,8.09,1.07,2,Small Value,Low Fundamentals Broad Market
IVOV,20.29,1.82,9.16,1.2,2,Mid-Cap Value,Low Fundamentals Broad Market
QEFA,20.97,1.66,10.17,1.36,1,Foreign Large Blend,Mid Fundamentals Broad Market
SPHB,20.63,1.7,10.92,1.57,1,Large Blend,Mid Fundamentals Broad Market
AVUS,23.53,2.96,12.2,1.74,1,,Mid Fundamentals Broad Market
SECT,23.15,2.9,12.91,1.92,1,Large Blend,Mid Fundamentals Broad Market
DTN,19.63,2.63,8.77,1.48,1,Large Value,Mid Fundamentals Broad Market
ULVM,20.42,2.23,10.75,1.15,1,Large Value,Mid Fundamentals Broad Market
PFM,25.44,3.97,13.39,1.94,3,Large Value,High Fundamental Broad Market
FRLG,0.0,0.0,0.0,0.0,5,Large Growth,"Low Fundamental ETF’s (Energy, Health,Finance)"
ESML,21.96,2.42,10.35,1.47,1,Small Blend,Mid Fundamentals Broad Market
HEZU,22.16,1.58,9.4,1.2,1,Europe Stock,Mid Fundamentals Broad Market
DIV,15.95,1.74,6.73,1.04,2,Mid-Cap Value,Low Fundamentals Broad Market
DWAS,0.0,5.25,14.59,2.23,5,Small Growth,"Low Fundamental ETF’s (Energy, Health,Finance)"
SDOW,-1.0,-1.0,-1.0,-1.0,0,Trading--Inverse Equity,Market Inverse ETF
FLJP,20.08,1.32,9.19,0.99,2,,Low Fundamentals Broad Market
ECH,15.48,1.25,4.95,1.1,2,Miscellaneous Region,Low Fundamentals Broad Market
IYE,0.0,1.34,8.01,1.11,5,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)"
RHS,20.55,3.45,11.95,1.18,1,Consumer Defensive,Mid Fundamentals Broad Market
RING,17.35,1.81,8.67,2.66,1,Equity Precious Metals,Mid Fundamentals Broad Market
JHMD,20.0,1.53,8.68,1.15,2,Foreign Large Blend,Low Fundamentals Broad Market
BBH,26.75,7.48,18.14,6.31,3,Health,High Fundamental Broad Market
PSCH,26.46,3.77,11.42,1.58,1,Health,Mid Fundamentals Broad Market
VIDI,13.8,1.11,5.17,0.62,2,,Low Fundamentals Broad Market
GUSH,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
ERUS,12.06,1.06,5.84,1.3,2,Miscellaneous Region,Low Fundamentals Broad Market
EES,13.37,1.57,5.89,0.69,2,Small Blend,Low Fundamentals Broad Market
FNY,30.57,6.09,17.63,3.3,3,Mid-Cap Growth,High Fundamental Broad Market
PTF,0.0,16.99,37.54,12.97,3,Technology,High Fundamental Broad Market
PZD,43.61,4.79,20.94,2.68,3,,High Fundamental Broad Market
EPS,21.29,3.28,12.91,2.0,1,Large Blend,Mid Fundamentals Broad Market
ONEV,20.98,2.63,11.18,1.2,1,Mid-Cap Blend,Mid Fundamentals Broad Market
ONEY,18.06,1.87,7.16,0.99,2,Mid-Cap Value,Low Fundamentals Broad Market
QDEF,22.01,4.44,13.48,2.3,3,Large Value,High Fundamental Broad Market
CATH,27.06,3.72,15.73,2.32,3,Large Blend,High Fundamental Broad Market
VNM,25.39,3.27,16.56,1.65,1,Miscellaneous Region,Mid Fundamentals Broad Market
DBEU,21.27,1.88,10.43,1.47,1,Europe Stock,Mid Fundamentals Broad Market
FEP,14.8,1.32,8.05,0.97,2,Europe Stock,Low Fundamentals Broad Market
THD,0.0,0.0,0.0,1.38,5,Miscellaneous Region,"Low Fundamental ETF’s (Energy, Health,Finance)"
AVUV,13.0,1.32,4.74,0.71,2,,Low Fundamentals Broad Market
JQUA,25.2,5.53,15.02,2.88,3,Large Blend,High Fundamental Broad Market
XTN,24.52,2.18,6.21,1.01,2,Industrials,Low Fundamentals Broad Market
FEM,9.85,1.08,4.77,0.65,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
RTM,26.85,2.68,11.03,1.87,1,Natural Resources,Mid Fundamentals Broad Market
NANR,30.12,1.46,9.83,1.63,1,Natural Resources,Mid Fundamentals Broad Market
SPGM,23.74,2.47,12.48,1.82,1,World Stock,Mid Fundamentals Broad Market
AVEM,15.39,1.5,7.88,1.0,2,,Low Fundamentals Broad Market
NULG,37.97,10.1,27.89,6.82,3,,High Fundamental Broad Market
ERX,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
EZA,16.01,1.74,0.0,1.28,5,Miscellaneous Region,"Low Fundamental ETF’s (Energy, Health,Finance)"
CSM,23.06,3.15,13.15,1.71,1,Large Blend,Mid Fundamentals Broad Market
IYZ,19.36,2.03,6.42,1.63,2,Communications,Low Fundamentals Broad Market
FM,14.34,1.66,0.0,2.26,5,Diversified Emerging Mkts,"Low Fundamental ETF’s (Energy, Health,Finance)"
TZA,-1.0,-1.0,-1.0,-1.0,0,Trading--Inverse Equity,Market Inverse ETF
XITK,0.0,7.08,26.1,6.01,5,,"Low Fundamental ETF’s (Energy, Health,Finance)"
RGI,26.36,3.98,15.08,1.77,3,Industrials,High Fundamental Broad Market
DDM,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
UIVM,15.91,1.1,7.13,0.83,2,Foreign Large Value,Low Fundamentals Broad Market
VIOG,24.32,3.53,14.32,1.86,1,Small Growth,Mid Fundamentals Broad Market
KRMA,25.92,3.99,16.17,2.65,3,Large Blend,High Fundamental Broad Market
EWD,16.8,2.21,13.57,2.2,1,Miscellaneous Region,Mid Fundamentals Broad Market
EWM,19.57,1.56,10.57,3.0,1,Miscellaneous Region,Mid Fundamentals Broad Market
FAN,25.64,2.53,9.97,1.59,1,Miscellaneous Sector,Mid Fundamentals Broad Market
SNPE,28.03,4.08,16.5,2.74,3,Large Blend,High Fundamental Broad Market
AVDE,18.91,1.41,7.93,1.04,2,,Low Fundamentals Broad Market
FDLO,27.99,4.92,16.87,3.05,3,Large Blend,High Fundamental Broad Market
EXI,26.08,3.13,12.93,1.55,1,Industrials,Mid Fundamentals Broad Market
FGD,12.01,0.91,0.0,0.84,5,Foreign Large Value,"Low Fundamental ETF’s (Energy, Health,Finance)"
EIDO,19.42,2.01,6.91,1.99,2,Miscellaneous Region,Low Fundamentals Broad Market
PSCT,31.83,3.57,17.24,1.79,3,Technology,High Fundamental Broad Market
RXI,31.27,3.27,12.7,1.67,1,Consumer Cyclical,Mid Fundamentals Broad Market
JKI,18.32,1.67,8.13,0.86,2,,Low Fundamentals Broad Market
RFG,34.59,3.33,19.57,2.86,3,Mid-Cap Growth,High Fundamental Broad Market
PDN,16.53,1.28,6.76,0.72,2,Foreign Small/Mid Value,Low Fundamentals Broad Market
TPYP,19.35,1.53,5.89,1.46,2,Energy Limited Partnership,Low Fundamentals Broad Market
QQQE,31.82,5.6,19.46,3.68,3,Large Growth,High Fundamental Broad Market
GII,24.62,1.95,10.19,2.64,1,Infrastructure,Mid Fundamentals Broad Market
PSI,34.58,6.54,23.84,4.73,3,Technology,High Fundamental Broad Market
XSW,30.02,6.64,19.41,3.47,3,Technology,High Fundamental Broad Market
FDT,13.31,1.15,6.81,0.82,2,Foreign Large Blend,Low Fundamentals Broad Market
NAIL,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
PBD,27.98,4.5,16.05,2.71,3,Miscellaneous Sector,High Fundamental Broad Market
KIE,11.18,0.85,0.0,0.97,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
VUSE,15.2,1.61,5.6,0.64,2,Mid-Cap Value,Low Fundamentals Broad Market
IHE,26.87,3.9,16.44,3.69,3,Health,High Fundamental Broad Market
BLOK,0.0,6.08,0.0,4.94,5,Technology,"Low Fundamental ETF’s (Energy, Health,Finance)"
DOL,18.03,1.72,8.73,1.39,2,Foreign Large Value,Low Fundamentals Broad Market
FXR,24.94,3.71,11.54,1.73,1,Industrials,Mid Fundamentals Broad Market
TECB,34.01,8.1,21.24,5.66,3,Technology,High Fundamental Broad Market
PJP,21.82,3.68,12.89,3.21,3,Health,High Fundamental Broad Market
OMFL,23.54,3.54,12.62,1.54,1,Large Blend,Mid Fundamentals Broad Market
TUR,9.57,1.22,6.02,0.35,2,Miscellaneous Region,Low Fundamentals Broad Market
IXG,13.95,1.03,0.0,1.59,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
LABU,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
HEWJ,20.5,1.38,9.43,1.05,2,Japan Stock,Low Fundamentals Broad Market
SNSR,36.13,4.21,18.48,3.16,3,Technology,High Fundamental Broad Market
URTY,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
IXP,26.3,3.28,10.91,2.86,1,Communications,Mid Fundamentals Broad Market
DOG,-1.0,-1.0,-1.0,-1.0,0,Trading--Inverse Equity,Market Inverse ETF
JKL,14.45,1.41,6.18,0.94,2,,Low Fundamentals Broad Market
IGE,28.97,1.55,8.34,1.32,1,Natural Resources,Mid Fundamentals Broad Market
AVDV,13.48,1.0,4.65,0.59,2,,Low Fundamentals Broad Market
RCD,22.48,3.54,10.72,1.52,1,Consumer Cyclical,Mid Fundamentals Broad Market
VSDA,24.52,3.86,16.1,2.07,3,Large Blend,High Fundamental Broad Market
FDRR,21.8,2.8,10.64,2.0,1,Large Value,Mid Fundamentals Broad Market
SDG,22.89,2.32,12.82,1.32,1,,Mid Fundamentals Broad Market
REMX,0.0,3.54,17.93,1.37,5,Equity Precious Metals,"Low Fundamental ETF’s (Energy, Health,Finance)"
WOOD,17.68,1.7,7.87,1.04,2,Natural Resources,Low Fundamentals Broad Market
EPOL,16.95,1.0,4.27,0.73,2,Miscellaneous Region,Low Fundamentals Broad Market
DFEN,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
DNL,25.46,5.88,15.66,3.66,3,Foreign Large Growth,High Fundamental Broad Market
DFE,16.03,1.72,6.73,1.0,2,Europe Stock,Low Fundamentals Broad Market
FLGE,0.0,0.0,0.0,0.0,5,Large Growth,"Low Fundamental ETF’s (Energy, Health,Finance)"
HFXI,20.72,1.59,9.87,1.33,1,Foreign Large Blend,Mid Fundamentals Broad Market
IRBO,33.69,4.12,14.79,2.11,3,Technology,High Fundamental Broad Market
KBWD,14.4,1.06,0.0,2.81,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
RWJ,15.8,1.55,4.5,0.27,2,Small Value,Low Fundamentals Broad Market
EDIV,11.84,1.36,6.35,0.84,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
IAT,15.94,1.17,0.0,3.02,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
EELV,12.4,1.16,7.06,1.03,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
CLRG,23.32,3.17,14.16,1.89,1,Large Value,Mid Fundamentals Broad Market
ISDX,19.77,1.39,5.94,0.68,2,Foreign Large Blend,Low Fundamentals Broad Market
EUSA,24.39,2.86,13.55,1.87,1,Large Blend,Mid Fundamentals Broad Market
IQSU,28.41,4.6,17.18,3.0,3,Large Blend,High Fundamental Broad Market
USVM,16.64,1.8,7.64,0.92,2,Small Blend,Low Fundamentals Broad Market
BIZD,18.85,0.97,0.0,7.87,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
CAPE,0.0,0.0,0.0,0.0,5,Large Value,"Low Fundamental ETF’s (Energy, Health,Finance)"
XPH,28.13,3.67,12.74,3.14,3,Health,High Fundamental Broad Market
BBUS,27.4,3.88,16.47,2.69,3,,High Fundamental Broad Market
UEVM,9.04,0.78,4.59,0.52,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
YINN,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
TLTE,12.44,1.14,6.2,0.83,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
EWN,26.41,1.93,12.47,1.57,1,Miscellaneous Region,Mid Fundamentals Broad Market
IFV,19.73,1.83,9.81,1.25,2,Foreign Large Blend,Low Fundamentals Broad Market
PBE,28.23,5.64,19.44,5.55,3,Health,High Fundamental Broad Market
FVAL,19.44,2.76,10.28,1.41,1,Large Value,Mid Fundamentals Broad Market
KBWP,12.06,1.18,0.0,1.06,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
FNDB,21.42,2.12,9.49,1.14,2,Large Value,Low Fundamentals Broad Market
SBIO,0.0,5.29,0.0,7.01,5,Health,"Low Fundamental ETF’s (Energy, Health,Finance)"
SGDM,12.6,1.54,6.74,2.46,2,Equity Precious Metals,Low Fundamentals Broad Market
RWM,-1.0,-1.0,-1.0,-1.0,0,Trading--Inverse Equity,Market Inverse ETF
RWK,19.21,1.82,7.45,0.63,2,Mid-Cap Value,Low Fundamentals Broad Market
DEF,25.18,4.81,15.8,1.78,3,Large Blend,High Fundamental Broad Market
NUMG,37.92,8.81,27.95,5.58,3,,High Fundamental Broad Market
ROUS,19.74,3.28,12.5,1.57,1,Large Value,Mid Fundamentals Broad Market
JPME,21.66,2.59,10.62,1.64,1,Mid-Cap Blend,Mid Fundamentals Broad Market
FXG,16.35,2.27,7.52,0.48,2,Consumer Defensive,Low Fundamentals Broad Market
FNI,29.59,4.19,14.69,1.81,3,Miscellaneous Region,High Fundamental Broad Market
PPH,23.35,3.38,12.42,0.82,1,Health,Mid Fundamentals Broad Market
ONEO,22.45,3.18,12.0,1.46,1,Mid-Cap Blend,Mid Fundamentals Broad Market
IQIN,17.88,1.16,5.63,0.52,2,Foreign Large Value,Low Fundamentals Broad Market
FMAT,28.68,2.84,11.87,1.87,1,Natural Resources,Mid Fundamentals Broad Market
TMFC,35.73,7.59,22.56,4.29,3,Large Growth,High Fundamental Broad Market
IHAK,0.0,5.98,17.78,3.3,5,Technology,"Low Fundamental ETF’s (Energy, Health,Finance)"
BIB,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
BRZU,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
EEMS,14.96,1.4,7.61,0.94,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
JPEM,15.34,1.7,6.85,1.4,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
IDNA,0.0,4.89,0.0,6.43,5,Health,"Low Fundamental ETF’s (Energy, Health,Finance)"
GSSC,18.78,2.35,9.69,1.23,2,Small Blend,Low Fundamentals Broad Market
SPGP,20.16,3.06,15.1,1.99,1,Large Growth,Mid Fundamentals Broad Market
PIO,31.77,3.58,12.42,2.02,1,Natural Resources,Mid Fundamentals Broad Market
PGJ,27.82,4.71,22.54,0.0,3,China Region,High Fundamental Broad Market
FYC,22.45,3.59,11.15,1.24,1,Small Growth,Mid Fundamentals Broad Market
SLVP,27.25,2.27,12.64,3.15,1,Equity Precious Metals,Mid Fundamentals Broad Market
QGRO,30.92,9.56,18.8,3.49,3,Large Growth,High Fundamental Broad Market
SMIN,20.98,2.66,11.7,1.84,1,India Equity,Mid Fundamentals Broad Market
FLEE,21.05,1.76,10.19,1.39,1,,Mid Fundamentals Broad Market
CZA,23.47,2.34,12.49,1.2,1,Mid-Cap Blend,Mid Fundamentals Broad Market
DRIV,30.43,2.51,9.96,1.29,1,Miscellaneous Sector,Mid Fundamentals Broad Market
MSOS,0.0,4.67,0.0,8.05,5,Miscellaneous Sector,"Low Fundamental ETF’s (Energy, Health,Finance)"
QID,-1.0,-1.0,-1.0,-1.0,0,Trading--Inverse Equity,Market Inverse ETF
FDD,11.84,0.97,5.45,0.88,2,Europe Stock,Low Fundamentals Broad Market
RYU,15.67,2.06,9.23,2.24,1,Utilities,Mid Fundamentals Broad Market
